Date/Time,Unit,Value,
9/23/2020, 11:45:01 AM,F,131.178
9/23/2020, 12:45:01 PM,F,128.485
9/23/2020, 1:45:01 PM,F,127.587
9/23/2020, 2:45:01 PM,F,122.2
9/23/2020, 3:45:01 PM,F,116.811
9/23/2020, 4:45:01 PM,F,102.435
9/23/2020, 5:45:01 PM,F,82.649
9/23/2020, 6:45:01 PM,F,75.449
9/23/2020, 7:45:01 PM,F,65.545
9/23/2020, 8:45:01 PM,F,61.042
9/23/2020, 9:45:01 PM,F,57.438
9/23/2020, 10:45:01 PM,F,55.636
9/23/2020, 11:45:01 PM,F,54.735
9/24/2020, 12:45:01 AM,F,52.933
9/24/2020, 1:45:01 AM,F,52.032
9/24/2020, 2:45:01 AM,F,51.131
9/24/2020, 3:45:01 AM,F,50.229
9/24/2020, 4:45:01 AM,F,50.229
9/24/2020, 5:45:01 AM,F,49.328
9/24/2020, 6:45:01 AM,F,48.427
9/24/2020, 7:45:01 AM,F,65.545
9/24/2020, 8:45:01 AM,F,92.544
9/24/2020, 9:45:01 AM,F,118.608
9/24/2020, 10:45:01 AM,F,129.382
9/24/2020, 11:45:01 AM,F,133.87
9/24/2020, 12:45:01 PM,F,129.382
9/24/2020, 1:45:01 PM,F,128.485
9/24/2020, 2:45:01 PM,F,123.098
9/24/2020, 3:45:01 PM,F,118.608
9/24/2020, 4:45:01 PM,F,103.334
9/24/2020, 5:45:01 PM,F,83.549
9/24/2020, 6:45:01 PM,F,74.549
9/24/2020, 7:45:01 PM,F,65.545
9/24/2020, 8:45:01 PM,F,61.943
9/24/2020, 9:45:01 PM,F,59.24
9/24/2020, 10:45:01 PM,F,57.438
9/24/2020, 11:45:01 PM,F,55.636
9/25/2020, 12:45:01 AM,F,53.834
