"plot_number","Plant","july_height","date_measured","dead.x","date_measured_2","dead.y","fall_height"
1631,"ADFA",66.9,2020-06-25,0,2020-11-05,1,62.4
1632,"ADFA",65.8,2020-06-25,0,2020-10-27,0,65.9
1633,"ADFA",57.1,2020-06-25,0,2020-10-27,1,52.3
1634,"HEAR",15.1,2020-06-25,0,2020-11-05,1,15.7
1635,"ADFA",60.6,2020-06-25,0,2020-11-05,0,58.3
1636,"ADFA",54,2020-06-24,0,2020-10-27,0,50.8
1639,"ADFA",54,2020-06-05,0,2020-11-17,1,50
1640,"SANI",9.1,2020-06-25,0,2020-11-19,0,6.5
1641,"ADFA",52.6,2020-06-05,0,2020-11-17,1,53
1649,"SAME",24.7,2020-06-26,0,2020-11-19,0,14.6
1653,"SAME",13.8,2020-06-24,0,2020-11-17,0,7.9
1656,"SAME",11.5,2020-06-05,0,2020-10-27,0,4.5
1658,"SANI",16.9,2020-06-25,0,2020-11-17,0,10
