ID,Plant,Height,Width 1,Width 2,Stem Diameter,Date Measured,Notes
345,ADFA (Orange + Green),51.5,56.8,25.7,0.51,25-Jun,
346,SAAP (White + Green),,,,,24-Jun,np
347,SANI (Orange + Yellow),,,,,24-Jun,"np, g"
348,ADFA (Orange + Green),,,,,25-Jun,dead
349,SANI (Orange + Yellow),,,,,25-Jun,np
350,SAME (Orange + Pink),,,,,25-Jun,"np, g"
351,ADFA (Orange + Green),56.1,31.1,25.5,1.17,25-Jun,
352,ENCA (Pink),,,,,25-Jun,np
353,ENCA (Pink),48.1,44.9,18.1,0.91,25-Jun,
354,SAME (Orange + Pink),55.6,26.2,18.4,0.62,24-Jun,
355,RHOV (White + Pink),,,,,25-Jun,"np, g"
356,CEOL (Orange),,,,,25-Jun,"np, g"
357,SAAP (White + Green),,,,,25-Jun,"np, g"
358,HEWH (White),,,,,25-Jun,"np, g.a."
359,HEWH (White),,,,,25-Jun,"np, g"
360,RHOV (White + Pink),,,,,25-Jun,"np, g"
361,CEOL (Orange),43.1,16.8,12.2,0.39,25-Jun,
362,MALA (White + Yellow),17.4,8,7.1,0.27,24-Jun,
363,RHOV (White + Pink),37.8,12.9,11.8,0.59,25-Jun,
364,MALA (White + Yellow),58.5,22.3,18.4,0.63,25-Jun,
365,HEWH (White),,,,,25-Jun,"np, g"
366,CEOL (Orange),,,,,25-Jun,"np, g"
367,RHOV (White + Pink),,,,,25-Jun,"np, g"
368,HEWH (White),24.9,23,13.2,,25-Jun,
369,RHOV (White + Pink),,,,,25-Jun,np
370,CEOL (Orange),,,,,25-Jun,np
371,SANI (Orange + Yellow),,,,,25-Jun,"np, g"
372,RHOV (White + Pink),,,,,25-Jun,"np, g"
373,HEWH (White),,,,,25-Jun,"np, g"
374,HEWH (White),25.9,34.5,18.5,,25-Jun,
375,RHOV (White + Pink),22.2,10.7,8.3,0.5,25-Jun,
376,HEWH (White),,,,,25-Jun,np
377,HEWH (White),22.5,13.2,7,,25-Jun,
378,CEOL (Orange),,,,,25-Jun,np
379,HEWH (White),26.8,29,19.2,,25-Jun,
380,MALA (White + Yellow),,,,,25-Jun,dead
381,SANI (Orange + Yellow),41.6,18.7,16.8,0.62,25-Jun,
382,SAME (Orange + Pink),,,,,25-Jun,np
383,ENCA (Pink),24.9,26.8,13.7,0.4,25-Jun,
384,CEOL (Orange),42.2,15,7.7,0.39,25-Jun,
385,HEWH (White),27.9,29.5,20.8,,24-Jun,
386,ADFA (Orange + Green),42,47.6,24,0.63,25-Jun,
387,ENCA (Pink),29.3,28.5,6.4,0.4,25-Jun,
388,MALA (White + Yellow),,,,,25-Jun,dead
389,SAAP (White + Green),,,,,25-Jun,dead
390,ADFA (Orange + Green),58.7,38.5,28.9,0.78,25-Jun,
391,SAME (Orange + Pink),,,,,25-Jun,np
392,CEOL (Orange),,,,,25-Jun,"np, g"
393,ENCA (Pink),61.2,41.9,14.5,0.57,25-Jun,
394,HEWH (White),37.4,40,19.5,,25-Jun,
395,ENCA (Pink),40.9,22.3,16.5,0.49,25-Jun,
396,SANI (Orange + Yellow),,,,,25-Jun,"np, g"
397,MALA (White + Yellow),,,,,25-Jun,dead
398,ENCA (Pink),13.3,8,7.3,0.35,25-Jun,
399,RHOV (White + Pink),29,16.7,14.9,0.66,25-Jun,g.a.
400,RHOV (White + Pink),18.1,11,7.8,0.58,25-Jun,
401,SANI (Orange + Yellow),36.6,10.4,9.3,0.53,24-Jun,herbivorized
402,HEAR,,,,,,
403,RHOV (White + Pink),,,,,25-Jun,np
404,CEOL (Orange),,,,,25-Jun,dead
405,ADFA (Orange + Green),,,,,25-Jun,dead
406,RHOV (White + Pink),20,11.1,9.8,0.4,25-Jun,
407,MALA (White + Yellow),,,,,25-Jun,np
408,HEWH (White),25.2,18.4,12.7,,25-Jun,
409,CEOL (Orange),,,,,25-Jun,"np, g"
410,CEOL (Orange),,,,,25-Jun,np
411,SAME (Orange + Pink),,,,,25-Jun,"np, g"
412,RHOV (White + Pink),,,,,25-Jun,np
413,RHOV (White + Pink),,,,,25-Jun,np
414,HEAR,,,,,25-Jun,dead
415,ENCA (Pink),60.2,9.2,8.2,0.58,24-Jun,
416,MALA (White + Yellow),31.2,30.5,9.8,0.58,25-Jun,
417,RHOV (White + Pink),17.7,17.5,12.2,0.68,25-Jun,
418,ADFA (Orange + Green),45.8,56.1,40.8,0.7,25-Jun,
419,ENCA (Pink),72.2,22.3,22.1,0.88,25-Jun,
420,MALA (White + Yellow),30.4,15.5,9.2,0.47,25-Jun,
421,CEOL (Orange),33.6,4,3.5,0.31,25-Jun,
422,ENCA (Pink),,,,,25-Jun,dead
423,SANI (Orange + Yellow),27.9,25.2,20,0.7,25-Jun,
424,CEOL (Orange),,,,,25-Jun,dead
425,HEWH (White),19.8,12.8,12.3,,25-Jun,
426,HEWH (White),,,,,25-Jun,np
427,CEOL (Orange),24.2,6,5.7,0.34,25-Jun,
428,ENCA (Pink),16.5,29.2,22.1,0.65,24-Jun,
429,RHOV (White + Pink),25.1,14.1,11.9,0.4,25-Jun,
430,ADFA (Orange + Green),,,,,25-Jun,dead
431,CEOL (Orange),,,,,25-Jun,np
432,HEWH (White),,,,,25-Jun,"np, g"
433,CEOL (Orange),,,,,25-Jun,np
434,CEOL (Orange),,,,,25-Jun,np
435,HEAR,,,,,25-Jun,dead
436,MALA (White + Yellow),6,8.2,4.3,0.3,25-Jun,herbivorized
437,MALA (White + Yellow),,,,,25-Jun,dead
438,HEWH (White),,,,,24-Jun,dead
439,RHOV (White + Pink),27.7,11.3,12.5,0.6,24-Jun,
440,HEWH (White),,,,,25-Jun,"np, g"
441,SAAP (White + Green),21.5,25.1,12.3,1.7,25-Jun,
442,HEWH (White),26.8,16.6,17.7,,25-Jun,
443,ENCA (Pink),28.6,9.7,8.6,0.4,25-Jun,
444,HEWH (White),,,,,25-Jun,np
445,HEWH (White),,,,,25-Jun,np
446,RHOV (White + Pink),25.2,9.9,10.1,0.4,25-Jun,
447,ADFA (Orange + Green),61.8,53.1,45.7,1.4,25-Jun,
448,HEWH (White),,,,,25-Jun,np
449,MALA (White + Yellow),,,,,25-Jun,np
450,SAME (Orange + Pink),20,11.1,5.7,0.3,25-Jun,
451,ENCA (Pink),11.8,5.5,4.6,0.4,25-Jun,
452,RHOV (White + Pink),,,,,25-Jun,"np, g"
453,CEOL (Orange),,,,,25-Jun,dead
454,ENCA (Pink),,,,,24-Jun,np
455,ENCA (Pink),,,,,25-Jun,np
456,RHOV (White + Pink),,,,,25-Jun,dead
457,SAAP (White + Green),42.9,22.1,15.7,1.4,25-Jun,
458,CEOL (Orange),34.3,12.3,9.7,0.4,25-Jun,
459,HEWH (White),21.1,11.1,5,,25-Jun,
460,RHOV (White + Pink),12.8,7.5,5.9,0.3,24-Jun,
461,ENCA (Pink),43.4,22.3,13.4,0.8,25-Jun,
462,CEOL (Orange),,,,,24-Jun,np
463,CEOL (Orange),,,,,24-Jun,np
464,ENCA (Pink),53.6,15.8,11.1,0.4,24-Jun,
465,MALA (White + Yellow),,,,,24-Jun,dead
466,SAAP (White + Green),17.1,18.4,6.5,0.5,24-Jun,
467,RHOV (White + Pink),,,,,25-Jun,dead
468,CEOL (Orange),41.5,12.1,11.9,0.4,24-Jun,
469,ENCA (Pink),44.2,25.1,20,2,24-Jun,
470,ENCA (Pink),,,,,24-Jun,np
