ID,Plant,Watering 1 Date,Alive,Notes,Watering 2 Date,Alive,Notes,Watering 3 Date,Alive,Notes,Watering 4 Date,Alive,Notes,,
353,ENCA (Pink),2/11,Y,,5/7,y,,,,,,,,,
354,SAME (Orange + Pink),,,,5/7,y,,,,,,,,,
355,RHOV (White + Pink),,,,5/7,y,,,,,,,,,
356,CEOL (Orange),,,np,5/7,y,,,,,,,,,
357,SAAP (White + Green),,,,5/7,y,,,,,,,,,
358,HEWH (White),2/11,Y,,5/7,y,,,,,,,,,
359,HEWH (White),2/11,Y,,5/7,y,,,,,,,,,
360,RHOV (White + Pink),2/11,Y,,5/7,y,,,,,,,,,
361,CEOL (Orange),,,np,5/8,y,,,,,,,,,
362,MALA (White + Yellow),,,,5/7,y,,,,,,,,,
363,RHOV (White + Pink),2/11,Y,,5/7,y,,,,,,,,,
364,MALA (White + Yellow),,,,5/7,y,,,,,,,,,
365,HEWH (White),2/11,Y,,5/7,y,,,,,,,,,
366,CEOL (Orange),,,np,5/7,y,,,,,,,,,
367,RHOV (White + Pink),2/11,Y,,5/7,np,gopher,,,,,,,,
368,HEWH (White),2/11,Y,,5/8,y,,,,,,,,,
369,RHOV (White + Pink),,,,5/7,np,,,,,,,,,
370,CEOL (Orange),,,np,5/7,y,,,,,,,,,
371,SANI (Orange + Yellow),,,,5/7,y,,,,,,,,,
372,RHOV (White + Pink),2-11,Y,,5/7,np,gopher,,,,,,,,
373,HEWH (White),2-11,Y,,5/7,y,,,,,,,,,
374,HEWH (White),,,,5/7,y,,,,,,,,,
375,RHOV (White + Pink),2-11,Y,,5/7,y,,,,,,,,,
376,HEWH (White),2-11,Y,,5/7,y,,,,,,,,,
377,HEWH (White),2-11,Y,,5/7,y,,,,,,,,,
378,CEOL (Orange),,,np,5/7,y,,,,,,,,,
379,HEWH (White),,,np,5/7,y,,,,,,,,,
380,MALA (White + Yellow),,,,5/8,n,,,,,,,,,
381,SANI (Orange + Yellow),,,,5/8,y,,,,,,,,,
382,SAME (Orange + Pink),,,,5/8,y,,,,,,,,,
383,ENCA (Pink),2-11,Y,barely,5/8,y,,,,,,,,,
384,CEOL (Orange),,,np,5/8,y,,,,,,,,,
385,HEWH (White),2-11,Y,,5/8,y,,,,,,,,,
386,ADFA (Orange + Green),2-11,Y,,5/8,y,,,,,,,,,
387,ENCA (Pink),2-11,Y,wilty,5/8,y,,,,,,,,,
388,MALA (White + Yellow),,,,,,,,,,,,,,
389,SAAP (White + Green),,,,5/8,y,,,,,,,,,
390,ADFA (Orange + Green),,,np,5/8,y,,,,,,,,,
391,SAME (Orange + Pink),,,,5/8,np,,,,,,,,,
392,CEOL (Orange),,,np,5/8,y,,,,,,,,,
393,ENCA (Pink),,,np,5/8,y,,,,,,,,,
394,HEWH (White),2-11,Y,,5/8,y,,,,,,,,,
395,ENCA (Pink),2-11,Y,,5/8,y,,,,,,,,,
396,SANI (Orange + Yellow),,,,5/8,y,,,,,,,,,
397,MALA (White + Yellow),,,,5/8,n,,,,,,,,,
398,ENCA (Pink),2-11,Y,,5/8,y,,,,,,,,,
399,RHOV (White + Pink),2-11,Y,,5/8,y,,,,,,,,,
400,RHOV (White + Pink),2-11,Y,,5/8,y,,,,,,,,,
401,SANI (Orange + Yellow),,,,5/7,y,,,,,,,,,
402,HEAR,,,,,,,,,,,,,,
403,RHOV (White + Pink),2-11,Y,,5/8,y,,,,,,,,,
404,CEOL (Orange),,,np,5/6,y,,,,,,,,,
405,ADFA (Orange + Green),2-11,Y,,,,,,,,,,,,
406,RHOV (White + Pink),,,np,5/6,y,,,,,,,,,
407,MALA (White + Yellow),,,,5/6,np,,,,,,,,,
408,HEWH (White),2-11,Y,,5/6,y,,,,,,,,,
409,CEOL (Orange),,,np,5/6,y,,,,,,,,,
410,CEOL (Orange),,,np,5/6,np,,,,,,,,,
411,SAME (Orange + Pink),,,,5/6,y,,,,,,,,,
412,RHOV (White + Pink),2-11,Y,,5/6,y,,,,,,,,,
413,RHOV (White + Pink),2-11,Y,,5/6,np,,,,,,,,,
414,HEAR,,,,5/8,y,,,,,,,,,
